My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
My Turn! ThreadID: 3
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 3
My Turn! ThreadID: 4
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
My Turn! ThreadID: 3
My Turn! ThreadID: 4
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 2
Not My Turn! ThreadID: 4
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 3
My Turn! ThreadID: 1
Not My Turn! ThreadID: 3
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 3
My Turn! ThreadID: 2
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
Not My Turn! ThreadID: 1
